orient,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,polygon.stopped,polygon_2.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,0,0,0,1,0.011608000000705943,,0.008546199998818338,0.011608000000705943,1.0072703000041656,1.0238230999966618,1.5087077000061981,1.5087077000061981,1.8067266000143718,1.8230730000068434,2.057856700004777,up,1,0.24806209999951534,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,0,1,1,0,2.07280009999522,,2.064548800000921,2.07280009999522,3.0722489000181668,3.0722489000181668,3.571686100010993,3.571686100010993,3.871381200005999,3.871381200005999,4.005586200015387,up,1,0.11934780000592582,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,1,0,2,1,4.021271400008118,,4.006780099996831,4.021271400008118,5.020493699994404,5.020493699994404,5.520127700001467,5.520127700001467,5.819872499996563,5.819872499996563,6.054161800013389,up,1,0.22095119999721646,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,1,1,3,0,6.069705600006273,,6.0560028000036255,6.069705600006273,7.068819300009636,7.068819300009636,7.568474600004265,7.568474600004265,7.870446400018409,7.870446400018409,8.385368200019002,down,1,0.5069826999970246,None,2,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,2,0,4,0,8.40132450000965,,8.387612899998203,8.40132450000965,9.400320300017484,9.400320300017484,9.900001000001794,9.900001000001794,10.199818299995968,10.199818299995968,10.384766800008947,up,1,0.18124430000898428,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,2,1,5,1,10.399604300007923,,10.387998599995626,10.399604300007923,11.39891049999278,11.39891049999278,11.898519800015492,11.898519800015492,12.198158800019883,12.198158800019883,12.56558940000832,down,1,0.35770699998829514,None,3,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,3,0,6,0,12.581105599994771,,12.567818500014255,12.581105599994771,13.581699300004402,13.581699300004402,14.096626600017771,14.080379399994854,14.379589599993778,14.379589599993778,14.747198099998059,down,1,0.3603220999939367,None,1,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,3,1,7,1,14.762512500019511,,14.749601899995469,14.762512500019511,15.761721899994882,15.761721899994882,16.26126810000278,16.26126810000278,16.56101689999923,16.56101689999923,16.72924030001741,up,0,0.16646350000519305,None,1,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,4,0,8,1,16.744289900001604,,16.73472999999649,16.744289900001604,17.743547199992463,17.743547199992463,18.243173199996818,18.243173199996818,18.542817000008654,18.542817000008654,18.777324099995894,up,1,0.22795010000118054,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,4,1,9,0,18.792637100006687,,18.78350760001922,18.792637100006687,19.791861000005156,19.791861000005156,20.29151519999141,20.29151519999141,20.59127209999133,20.59127209999133,20.80882860001293,down,1,0.21450960001675412,None,-5,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,5,0,10,0,20.82423810000182,,20.81050240001059,20.82423810000182,21.823655100015458,21.823655100015458,22.32306610001251,22.32306610001251,22.622820599994157,22.622820599994157,22.82360500001232,up,1,0.19499970000470057,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,5,1,11,1,22.839513200015062,,22.82536099999561,22.839513200015062,23.838569700019434,23.838569700019434,24.338292500004172,24.338292500004172,24.637850400002208,24.637850400002208,24.92235740000615,down,1,0.28015499998582527,None,-3,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,6,0,12,0,24.93765330000315,,24.92367690001265,24.93765330000315,25.93688029999612,25.93688029999612,26.436456199997338,26.436456199997338,26.736178999999538,26.736178999999538,27.070079900004202,up,1,0.319971799995983,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,6,1,13,1,27.08592850001878,,27.071180200000526,27.08592850001878,28.085053300019354,28.085053300019354,28.58475730000646,28.58475730000646,28.88432169999578,28.88432169999578,29.28536370000802,up,1,0.3968118999910075,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
