orient,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,polygon.stopped,polygon_2.stopped,grating.started,key_resp.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,13.499569899984635,14.494651999964844,14.51101670000935,15.024340800009668,15.024340800009668,15.29442970000673,15.327703899994958,up,1,0.8318642000085674,None,0,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
45,0,1,1,1,16.147339899966028,17.160720199986827,17.166529899986926,17.66104009997798,17.644506699987687,17.94433349999599,17.94433349999599,up,1,0.9251992999925278,None,0,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
45,1,0,2,1,18.894399099983275,19.894440400006715,19.894440400006715,20.394124799990095,20.394124799990095,20.694399699976202,20.694399699976202,down,1,0.3762320000096224,None,-2,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
0,1,1,3,0,21.09449579997454,22.09406889998354,22.09406889998354,22.594514500000514,22.594514500000514,22.894371500005946,22.894371500005946,up,1,0.6839587999857031,None,0,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
0,2,0,4,0,23.611275899980683,24.61116430000402,24.61116430000402,25.111250999965705,25.111250999965705,25.41091779997805,25.41091779997805,down,1,1.134429799974896,None,-3,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
45,2,1,5,1,26.577668399957474,27.577576000010595,27.577576000010595,28.077795099990908,28.077795099990908,28.377092199982144,28.377092199982144,down,1,0.7243016999564134,None,4,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
0,3,0,6,0,29.12763050000649,30.127565299975686,30.127565299975686,30.627649499976542,30.627649499976542,30.92740479996428,30.92740479996428,up,1,2.7920122999930754,None,0,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
45,3,1,7,1,33.744185199961066,34.74424899998121,34.74424899998121,35.24457619996974,35.24457619996974,35.5441148999962,35.5441148999962,down,1,0.3853609999641776,None,3,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
0,4,0,8,0,35.961121700005606,36.961024199961685,36.961024199961685,37.46136459999252,37.46136459999252,37.76110169995809,37.76110169995809,up,1,0.40583619999233633,None,0,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
45,4,1,9,1,38.194402599998284,39.19449909997638,39.19449909997638,39.694839200004935,39.694839200004935,39.99434769997606,39.99434769997606,down,1,0.8819866999983788,None,3,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
0,5,0,10,0,40.89437319996068,41.89400769997155,41.89400769997155,42.39453960000537,42.39453960000537,42.694333799998276,42.694333799998276,down,1,0.7812123000039719,None,4,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
45,5,1,11,1,43.49430189997656,44.49444239999866,44.49444239999866,44.99453949998133,44.99453949998133,45.29453620000277,45.29453620000277,up,1,0.5624920000554994,None,0,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
45,6,0,12,1,45.87770489999093,46.87764929997502,46.87764929997502,47.377353099989705,47.377353099989705,47.67753990000347,47.67753990000347,down,0,0.5898095000302419,None,0,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
0,6,1,13,0,48.294404199987184,49.294413800002076,49.294413800002076,49.79462840000633,49.79462840000633,50.094302999961656,50.094302999961656,down,1,1.0684141000383534,None,-4,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
45,7,0,14,1,51.19456019997597,52.1945032000076,52.1945032000076,52.69450300000608,52.69450300000608,52.994365699996706,52.994365699996706,up,0,0.7469177999882959,None,-2,maniii,001,2023-11-28_13h18.14.200,Final_Project,2023.1.3,60.09972950189635,
