orient,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,polygon.stopped,polygon_2.stopped,grating.started,key_resp.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
45,0,0,0,1,66.21022880001692,67.20727280003484,67.22372240002733,67.73478390002856,67.73478390002856,68.00727380003082,68.04029630002333,up,1,1.292625300004147,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,0,1,1,0,69.32372709998162,70.32382460002555,70.32382460002555,70.82387670001481,70.82387670001481,71.12378219998209,71.12378219998209,up,0,1.052266700018663,None,2,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,1,0,2,0,72.20725650002714,73.20721880003111,73.20721880003111,73.7074310000171,73.7074310000171,74.00699530000566,74.00699530000566,down,1,1.469706000003498,None,-2,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,1,1,3,1,75.50735219998751,76.50756860000547,76.50756860000547,77.0070115000126,76.99050509999506,77.30707789998269,77.29023580002831,down,0,2.601021700014826,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,2,0,4,0,79.94042990001617,80.94038490002276,80.94038490002276,81.44049190002261,81.44049190002261,81.74031170003582,81.74031170003582,up,1,0.6701675999793224,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,2,1,5,1,82.44004140002653,83.44039830000838,83.44039830000838,83.94064580003032,83.94064580003032,84.24018150003394,84.24018150003394,up,0,1.0172856000135653,None,1,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,3,0,6,0,85.27372980001383,86.27361949998885,86.27361949998885,86.77390869997907,86.77390869997907,87.07379669998772,87.07379669998772,down,1,0.7418470000266097,None,4,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,3,1,7,1,87.84047340002144,88.84030739997979,88.84030739997979,89.34060840000166,89.34060840000166,89.640533400001,89.640533400001,down,1,0.6665199999697506,None,4,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,4,0,8,1,90.32385600003181,91.32385059999069,91.32385059999069,91.82403000001796,91.82403000001796,92.12392360001104,92.12392360001104,up,1,0.6678795000188984,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,4,1,9,0,92.82389150001109,93.82364990003407,93.82364990003407,94.32366709999042,94.32366709999042,94.6237919999985,94.6237919999985,down,1,0.7877447999780998,None,-5,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,5,0,10,0,95.44052990002092,96.4404756000149,96.4404756000149,96.94044670002768,96.94044670002768,97.24055109999608,97.24055109999608,down,1,0.3966054000193253,None,-4,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,5,1,11,1,97.6572654999909,98.65718510001898,98.65718510001898,99.15732360002585,99.15732360002585,99.45734229998197,99.45734229998197,up,1,0.6134273000061512,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,6,0,12,1,100.09060180000961,101.09041870001238,101.09041870001238,101.59040769998683,101.59040769998683,101.8903623999795,101.8903623999795,up,1,0.6062624999904074,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,6,1,13,0,102.52370730001712,103.52385140000843,103.52385140000843,104.02427659998648,104.02427659998648,104.32394560001558,104.32394560001558,down,1,0.49753690004581586,None,2,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,7,0,14,0,104.84048240003176,105.840257200005,105.840257200005,106.34053899999708,106.34053899999708,106.64061960001709,106.64061960001709,up,1,0.6808974000159651,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,7,1,15,1,107.34017789998325,108.34031830000458,108.34031830000458,108.84050869999919,108.84050869999919,109.14044719998492,109.14044719998492,down,1,0.5501371000427753,None,-2,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,8,0,16,0,109.70722129999194,110.70730250002816,110.70730250002816,111.20741919998545,111.20741919998545,111.50727390003158,111.50727390003158,down,1,0.5605827000108548,None,-5,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,8,1,17,1,112.09068610001123,113.09054429997923,113.09054429997923,113.59055700001772,113.59055700001772,113.89027410000563,113.89027410000563,up,1,0.8478338000131771,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,9,0,18,0,114.75727950001601,115.75709129997995,115.75709129997995,116.25740420003422,116.25740420003422,116.55735750001622,116.55735750001622,up,1,0.6398458000039682,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,9,1,19,1,117.22386239998741,118.2239279000205,118.2239279000205,118.72409929998685,118.72409929998685,119.02399419998983,119.02399419998983,down,0,1.7897233000257984,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,10,0,20,0,120.84060200001113,121.84048519999487,121.84048519999487,122.34042100002989,122.34042100002989,122.64028920000419,122.64028920000419,up,1,0.7712123999954201,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,10,1,21,1,123.44045850000111,124.44055599998683,124.44055599998683,124.94059740001103,124.94059740001103,125.24055630003568,125.24055630003568,down,1,0.4129644999629818,None,-2,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,11,0,22,0,125.67384850000963,126.67392720002681,126.67392720002681,127.17411770002218,127.17411770002218,127.47404910001205,127.47404910001205,up,1,0.6032435999950394,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,11,1,23,1,128.10721819999162,129.10733850003453,129.10733850003453,129.60764559998643,129.60764559998643,129.90741129999515,129.90741129999515,down,1,0.4785517000127584,None,-3,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,12,0,24,0,130.40732280001976,131.40728139999555,131.40728139999555,131.90735080000013,131.90735080000013,132.207388299983,132.207388299983,down,1,0.8905594000243582,None,4,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,12,1,25,1,133.12391999998363,134.12391740002204,134.12391740002204,134.62408939999295,134.62408939999295,134.9239538999973,134.9239538999973,down,1,0.476506499981042,None,-5,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,13,0,26,0,135.42386700003408,136.42390950000845,136.42390950000845,136.92410629999358,136.92410629999358,137.22391430003336,137.22391430003336,up,1,0.47596379998140037,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,13,1,27,1,137.72392670001136,138.7237745000166,138.7237745000166,139.22433920000913,139.22433920000913,139.5240882000071,139.5240882000071,down,1,0.31503800000064075,None,-3,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,14,0,28,0,139.85732860001735,140.85740809998242,140.85740809998242,141.35734560003038,141.35734560003038,141.65792929998133,141.65792929998133,down,1,0.7174907000153325,None,2,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,14,1,29,1,142.40743359999033,143.40703000000212,143.40703000000212,143.90730830002576,143.90730830002576,144.20730710000498,144.20730710000498,up,1,0.579963400028646,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,15,0,30,0,144.80751760001294,145.80737420002697,145.80737420002697,146.30735269997967,146.30735269997967,146.60735489998478,146.60735489998478,up,1,0.6103542000055313,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,15,1,31,1,147.24040569999488,148.24072190001607,148.24072190001607,148.7403049999848,148.7403049999848,149.04047690000152,149.04047690000152,up,1,4.179772700008471,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,16,0,32,1,153.24039809999522,154.24037190002855,154.24037190002855,154.74040170002263,154.74040170002263,155.0404820999829,155.0404820999829,down,1,0.3633116999990307,None,-4,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,16,1,33,0,155.42389079998247,156.42390540003544,156.42390540003544,156.9242095000227,156.9242095000227,157.22406029998092,157.22406029998092,up,1,0.5798467000131495,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,17,0,34,1,157.82405510003446,158.8238558000303,158.8238558000303,159.32359450001968,159.32359450001968,159.6240549000213,159.6240549000213,up,1,2.067849999992177,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,17,1,35,0,161.72388920001686,162.72393320000265,162.72393320000265,163.22406600002432,163.22406600002432,163.523885600036,163.523885600036,down,1,0.4276988999918103,None,3,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,18,0,36,0,163.9740240999963,164.97404780000215,164.97404780000215,165.47433380002622,165.47433380002622,165.77383349998854,165.77383349998854,up,1,2.439683500037063,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,18,1,37,1,168.240625299979,169.2403648000327,169.2403648000327,169.74078200000804,169.74078200000804,170.04021030000877,170.04021030000877,up,0,0.6370432999683544,None,1,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,19,0,38,1,170.70763580000494,171.70748159999494,171.70748159999494,172.20753960002912,172.20753960002912,172.50732570001855,172.50732570001855,up,1,0.7182952999719419,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,19,1,39,0,173.25732390000485,174.25751279998804,174.25751279998804,174.7577820000006,174.7577820000006,175.05730129999574,175.05730129999574,up,1,1.1768647999851964,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,20,0,40,0,176.25745540001662,177.25733890000265,177.25733890000265,177.75732979999157,177.75732979999157,178.05738840001868,178.05738840001868,up,1,0.7318607000051998,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,20,1,41,1,178.80734990001656,179.80740470002638,179.80740470002638,180.30752450000728,180.30752450000728,180.60761960002128,180.60761960002128,down,0,0.9305240000248887,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,21,0,42,0,181.55712000001222,182.55732979997993,182.55732979997993,183.0575493000215,183.0575493000215,183.3573395999847,183.3573395999847,down,1,0.6007593999966048,None,2,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,21,1,43,1,183.99064520001411,184.99061009997968,184.99061009997968,185.4906758000143,185.4906758000143,185.79060649999883,185.79060649999883,down,1,0.46213559998432174,None,1,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,22,0,44,1,186.27413750003325,187.2741112000076,187.2741112000076,187.77415529999416,187.77415529999416,188.07393270003377,188.07393270003377,down,1,0.6256068000220694,None,4,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,22,1,45,0,188.72417589998804,189.72399919998134,189.72399919998134,190.2243283999851,190.2243283999851,190.52409760002047,190.52409760002047,down,1,0.583562100015115,None,-3,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,23,0,46,1,191.1243174999836,192.12412739999127,192.12412739999127,192.6241017000284,192.6241017000284,192.92416490003234,192.92416490003234,up,1,5.499174500000663,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,23,1,47,0,198.4407069000299,199.44045639998512,199.44045639998512,199.94079140003305,199.94079140003305,200.24065589997917,200.24065589997917,up,1,0.3146937999990769,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
45,24,0,48,1,200.5743370000273,201.57406369998353,201.57406369998353,202.07418009999674,202.07418009999674,202.373996099981,202.373996099981,up,1,1.3177404000307433,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,24,1,49,0,203.72411790001206,204.72373219998553,204.72373219998553,205.22400220000418,205.22400220000418,205.5242234999896,205.5242234999896,down,0,0.45382659998722374,None,0,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
0,25,0,50,0,206.00731559999986,207.007387700025,207.007387700025,207.50755029998254,207.50755029998254,207.8073956000153,207.8073956000153,down,1,0.24672559997998178,None,4,Aahana,001,2023-11-28_19h39.11.555,Final_Project,2023.1.3,59.803140014579405,
